date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:22	38452/38452	---M--	200	added ('OK')	binary/octet-stream	etag:%2276cc6be5d8a231dc012fef4bdb86f79c%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-Bold-webfont.ttf	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-Bold-webfont.ttf	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:23	20133/20133	---M--	200	added ('OK')	binary/octet-stream	etag:%226218c213bb8cf22b25710da6f3a90e48%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.eot	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:26	23048/23048	---M--	200	added ('OK')	application/font-woff	etag:%227657144ec477cd61ac4a5d1af3fa2d28%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.woff	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.woff	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:26	534867/534867	---M--	200	added ('OK')	image/jpeg	etag:%22395df93f3a2d8a841031e95505e05fa4%22	http://www.armaanfarshori.xyz/images/header-background.jpg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/images/header-background.jpg	(from http://www.armaanfarshori.xyz/css/layout.css)
18:29:26	20133/20133	---M--	200	added ('OK')	binary/octet-stream	etag:%226218c213bb8cf22b25710da6f3a90e48%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.eot?	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfontd41d.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:29	121112/121112	---M--	200	added ('OK')	image/svg+xml	etag:%222b4eeeaef53b3496a5cdf82803666ed7%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.svg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.svg	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:33	20855/20855	---M--	200	added ('OK')	binary/octet-stream	etag:%2256d9d42e23863ce0ee8e8c2e2f22843f%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.eot	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:33	20855/20855	---M--	200	added ('OK')	binary/octet-stream	etag:%2256d9d42e23863ce0ee8e8c2e2f22843f%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.eot?	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfontd41d.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:34	39076/39076	---M--	200	added ('OK')	binary/octet-stream	etag:%22b6690626036a7d6824632769305b1978%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.ttf	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-BoldItalic-webfont.ttf	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:37	119184/119184	---M--	200	added ('OK')	image/svg+xml	etag:%22ea3c4697897bd7f1505facb7084c6ac3%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.svg	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.svg	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:38	23764/23764	---M--	200	added ('OK')	application/font-woff	etag:%226ad396399f4022ccd1616cf11d0985be%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.woff	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.woff	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:41	21576/21576	---M--	200	added ('OK')	binary/octet-stream	etag:%22ff3bedaecdec71c34b0ca85c3c495c2d%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.eot	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.eot	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:41	42024/42024	---M--	200	added ('OK')	binary/octet-stream	etag:%2212be067a6270759b4f861d64cc267166%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.ttf	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBold-webfont.ttf	(from http://www.armaanfarshori.xyz/css/fonts.css)
18:29:42	24568/24568	---M--	200	added ('OK')	application/font-woff	etag:%22042468300dab6f308592e15e02549c79%22	http://www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.woff	C:/My%20Web%20Sites/website%20copier/www.armaanfarshori.xyz/css/fonts/opensans/OpenSans-ExtraBoldItalic-webfont.woff	(from http://www.armaanfarshori.xyz/css/fonts.css)
